epoch,time_s,lr,gpu_peak_mem_gb,train_loss,train_loss_base,train_mse,train_mass,train_solid,train_tv,train_loss_plume_focus,train_loss_active_mae,train_active_fraction,train_high_fraction,val_loss,val_loss_base,val_mse,val_mass,val_solid,val_tv,val_loss_plume_focus,val_loss_active_mae,val_active_fraction,val_high_fraction,val_rmse,val_mae,val_r2,val_rel_err,val_plume_rmse,val_plume_mae,val_plume_r2,val_plume_rel_err,val_plume_voxel_fraction,val_acc,val_macro_f1,val_weighted_f1,selection_cases,selection_rmse,selection_mae,selection_plume_rmse,selection_plume_mae,selection_acc,selection_macro_f1,selection_weighted_f1,selection_metric,selection_score
1,316.32,3.000e-04,33.342,0.136029,0.023066,0.020226,0.025272,0.002649,0.00475,0.086669,0.17529,0.000677,0.000676,0.028978,0.012247,0.009942,0.020765,0.002087,0.001953,0.007162,0.063795,0.000538,0.000536,163167837618176.0,243082149888.0,-8.447201266864195e+19,4922925568.0,727027.9375,81223.8125,-0.013065,0.980792,0.000596,0.951154,0.170461,0.974433,16,42224.011,223.62,816058.9823,67833.0464,0.951025,0.166246,0.974496,selection_plume_rmse,816058.982346
2,273.24,2.999e-04,31.514,0.03,0.01087,0.008884,0.017703,0.002003,0.001511,0.00833,0.072007,0.000701,0.0007,0.022147,0.007589,0.006134,0.012862,0.001565,0.001256,0.005812,0.058307,0.000538,0.000536,17754.3438,69.6577,-0.000122,1.410716,727038.25,80939.9844,-0.013093,0.977364,0.000596,0.969622,0.17728,0.984061,16,3188.3471,26.8725,150694.0374,28469.0582,0.972691,0.170396,0.985815,selection_plume_rmse,150694.037407
3,263.98,2.998e-04,31.514,0.024261,0.008479,0.006964,0.013335,0.001691,0.001297,0.006454,0.062188,0.000686,0.000684,0.021193,0.008076,0.00663,0.012745,0.001579,0.001286,0.005104,0.053421,0.000538,0.000536,12183950.0,19522.166,-470997.935932,395.36499,727032.0,80884.2266,-0.013076,0.976691,0.000596,0.971308,0.176114,0.98492,16,2620.6536,29.8202,138395.0814,27486.1309,0.976599,0.16905,0.987797,selection_plume_rmse,138395.081406
4,268.43,2.997e-04,31.514,0.021824,0.007549,0.006233,0.011529,0.001514,0.001157,0.005686,0.057261,0.000682,0.00068,0.020445,0.006953,0.005667,0.011371,0.001385,0.001092,0.004878,0.057428,0.000538,0.000536,20492.9336,83.3189,-0.332453,1.687383,727031.6875,80981.4453,-0.013075,0.977865,0.000596,0.973,0.177645,0.985796,16,2454.3647,14.3933,134886.9092,25919.2344,0.977288,0.173759,0.988166,selection_plume_rmse,134886.909203
5,274.5,2.995e-04,31.514,0.020645,0.007453,0.006193,0.011044,0.00145,0.001104,0.005169,0.053483,0.000692,0.00069,0.017487,0.005269,0.004308,0.008291,0.001229,0.000951,0.00479,0.049517,0.000538,0.000536,17776.1758,70.789,-0.002583,1.433627,727023.5625,80383.2969,-0.013052,0.970642,0.000596,0.981992,0.181364,0.990401,16,11044.7998,18.0063,135555.9276,26565.0984,0.991399,0.175757,0.995281,selection_plume_rmse,135555.927605
6,267.98,2.993e-04,31.514,0.020655,0.007096,0.005891,0.010508,0.001437,0.001055,0.005386,0.054479,0.000692,0.00069,0.017404,0.00747,0.006229,0.010575,0.001732,0.001016,0.00352,0.042762,0.000538,0.000536,17798.4941,78.232,-0.005102,1.584363,727015.9375,80319.9844,-0.013031,0.969878,0.000596,0.974967,0.177198,0.98679,16,2469.4917,17.2827,134843.0758,26000.7749,0.982913,0.172561,0.991013,selection_plume_rmse,134843.075798
7,274.21,2.991e-04,31.514,0.018585,0.006491,0.005421,0.009251,0.001352,0.000985,0.004645,0.049662,0.000694,0.000692,0.018034,0.005104,0.004153,0.008228,0.00119,0.000912,0.004775,0.054367,0.000538,0.000536,17753.418,64.2574,-1.8e-05,1.301348,727009.0,80487.9141,-0.013012,0.971906,0.000596,0.981238,0.183346,0.990039,16,2446.6126,7.7372,134831.8835,26076.5981,0.987084,0.179866,0.993177,selection_plume_rmse,134831.883522
8,270.09,2.988e-04,31.514,0.01848,0.006389,0.005329,0.009166,0.001337,0.000972,0.004652,0.049595,0.000696,0.000695,0.015872,0.005413,0.004459,0.008206,0.001241,0.000898,0.003804,0.044368,0.000538,0.000536,269321.8125,468.1441,-229.137193,9.480904,727024.5625,80422.5312,-0.013055,0.971116,0.000596,0.981933,0.179799,0.990371,16,2468.3804,11.896,134816.6714,26003.5757,0.988014,0.174814,0.993618,selection_plume_rmse,134816.671425
9,280.49,2.985e-04,31.514,0.018729,0.006414,0.005362,0.009131,0.001295,0.000976,0.00465,0.051094,0.000697,0.000696,0.016742,0.004101,0.003332,0.006662,0.00094,0.000849,0.004928,0.051422,0.000538,0.000536,17756.666,64.2444,-0.000384,1.301084,727025.8125,80458.125,-0.013059,0.971546,0.000596,0.986256,0.186428,0.992587,16,2435.7677,7.5321,134824.6859,26062.1577,0.994432,0.179377,0.996839,selection_plume_rmse,134824.685905
10,268.68,2.982e-04,31.514,0.018238,0.006522,0.005474,0.009095,0.001295,0.00097,0.004554,0.04774,0.000693,0.000692,0.016313,0.005191,0.004283,0.007951,0.001039,0.0009,0.004015,0.047377,0.000538,0.000536,79336.8359,190.4738,-18.970706,3.857496,727029.375,80435.3828,-0.013069,0.971271,0.000596,0.982819,0.179926,0.990822,16,2465.567,11.6232,134768.9721,25975.8015,0.99309,0.175938,0.996114,selection_plume_rmse,134768.972134
